Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase_x,Phase_y,Conc_HEPES_(mM),pH,Conc_Dye_Cy5_AP_Lys_100_(mM),Conc_Dye_FITC_AP_Asp_200_(mM),Plate_Barcode,Plate_Position,Preparation_Date,Experiment_Code,Mixing_Volume,Final_Volume,Barcode,Conc_NaCl_(mM),Experiment_ID
3.8,0.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,H5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,549514H418CL,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.0,0.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,D9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,47776380A79C,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.2,0.9,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,E10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,242726LWGRFM,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.5,0.9,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,F12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,9897723FWUIT,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.7,0.9,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,F11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,162061ESXPW6,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
8.1,0.9,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,059459H2BR9X,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.7,1.0,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,A6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,3618270EP2XG,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
8.1,1.0,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,318127466OF9,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.5,1.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,C10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,617412DC3Z9Z,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.6,1.1,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,A8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,220622PMUDBT,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.0,1.1,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,G9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,712724JORI61,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.6,1.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,187868L379DI,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.9,1.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,7187616PH0X7,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
7.6,1.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,A10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,722222VU9NT0,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
8.1,1.2,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,D8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,606100AF2HW2,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.5,1.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,D7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,598504JMIP51,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.3,1.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,H8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,760612ALQT4I,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
8.1,1.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,C5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,818262JHNEUZ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.1,1.4,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,G8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,477410YCWMMN,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.0,1.4,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,D6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,7688837R8OM2,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.3,1.5,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,G7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,147555M5XKXB,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.4,1.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,E11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,012728PA2PIA,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.5,1.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,E12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,797717JPP8IX,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.2,2.3,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,A9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,626176ICGRDA,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.0,2.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,A7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,147794BD2PB6,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.3,2.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,F5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,676717QE0RJI,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
3.0,2.4,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,H6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,722623IF3CMM,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
3.7,2.5,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,A5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,515844RPTDBA,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.4,2.9,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,H10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,176777O1ISPI,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.7,2.9,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,C6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,125776SGCP4L,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.1,3.2,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,C8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,0017810X5XYU,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
4.1,3.2,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,E4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,847771QKBJMX,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.5,3.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,H9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,182136I3CALS,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.7,3.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,H7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,5715559Z66ED,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
8.1,3.9,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,G4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,567827UCUC6R,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.2,4.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,F4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,745615WX1LS9,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.8,4.2,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,A12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,971268OJ6EA6,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.8,4.4,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,A11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,67666007L8GQ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.8,4.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,D10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,4176143XNXEY,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.8,5.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,D5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,7788798SQB2A,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.9,5.2,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,E9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,27361829NW5J,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.3,5.2,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,E7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,971592E1JDO4,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.7,5.4,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,E6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,823888UYLLCY,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.2,5.5,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,F8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,207008FLBGSM,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.2,5.9,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,G12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,191729RLKWY7,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.2,6.2,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,G11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,818227UD1ZPJ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.3,6.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,G10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,822477E6RLC5,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
3.0,6.5,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,G5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,446511X6KWYE,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.2,6.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,G6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,713187OHPSPQ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
3.4,6.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,H4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,7877253DOW44,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
6.9,7.5,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,A4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,778465NCKGVC,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.4,7.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,D12,2024-10-02 13:23:51,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,876182BOV2TM,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.1,8.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,D4,2024-10-02 08:22:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,555758GK3SKH,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
0.8,8.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B6,2024-10-02 09:24:18,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,738838R0OLVX,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.2,8.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B8,2024-10-02 11:13:57,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,82086193NYX5,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.4,8.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015130,B10,2024-10-02 12:21:34,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,882244WDRXQK,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.5,8.1,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,D11,2024-10-02 12:53:46,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,778027595CQ1,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.6,8.1,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,C9,2024-10-02 11:48:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,364862WNII85,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.7,8.1,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,C7,2024-10-02 10:04:05,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,5877478P739G,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
1.9,8.1,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015130,B5,2024-10-02 08:53:20,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1,150.0,100.0,715852NNGWQK,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R1
