Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase_x,Phase_y,Conc_HEPES_(mM),pH,Conc_Dye_Cy5_AP_Lys_100_(mM),Conc_Dye_FITC_AP_Asp_200_(mM),Plate_Barcode,Plate_Position,Preparation_Date,Experiment_Code,Mixing_Volume,Final_Volume,Barcode,Conc_NaCl_(mM),Experiment_ID,Conc_AP_Asp_100_(mM),Conc_AP_Asp_30_(mM),Conc_AP_Lys_250_(mM),Conc_Dye_Cy5_AP_Lys_250_(mM),Conc_AP_Lys_20_(mM),Conc_Dye_Cy5_AP_Lys_20_(mM)
2.6,1.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,C10,2024-10-07 09:01:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,4152774W96KF,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,E12,2024-10-07 10:27:56,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,891882OTEPHR,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
5.6,1.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,F3,2024-10-07 12:09:39,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,5599556MDXP6,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,G6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,72823650UT82,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
6.1,1.0,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,G5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,427499LO6DFC,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,C4,2024-10-07 14:06:19,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,7727226YEZKG,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
6.7,1.1,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,H2,2024-10-07 11:39:08,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,796229L1S4LD,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,C5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,1104988V74AE,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1.2,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,B6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,0132127C56A4,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1.3,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,G12,2024-10-07 10:27:56,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,187178P4HGM3,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,C2,2024-10-07 11:39:08,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,1822694IB7F9,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1.4,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,B10,2024-10-07 09:01:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,2225749TVMUA,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.6,1.5,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,A6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,212260P3B4XJ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1.5,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,D1,2024-10-07 11:02:35,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,1717941V4ZFF,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1.6,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,C11,2024-10-07 09:56:36,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,68862151WY93,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2.0,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,F2,2024-10-07 11:39:08,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,292237CFYN96,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
4.2,2.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,G10,2024-10-07 09:01:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,244445ZN3FRO,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.3,2.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,H1,2024-10-07 11:02:35,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,148717D1K1KV,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
4.1,2.2,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,E9,2024-10-07 08:20:03,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,772111IBRAXR,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
6.1,2.3,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,F10,2024-10-07 09:01:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,343741ECL5XI,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.7,2.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,D3,2024-10-07 12:09:39,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,597881RK9X1V,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.8,2.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,H4,2024-10-07 14:06:19,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,787724G3JAZJ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.9,2.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,F11,2024-10-07 09:56:36,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,282887OYOKW3,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.8,3.0,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,H6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,622882771H2W,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.1,3.2,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,D12,2024-10-07 10:27:56,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,422229IVT17L,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.5,3.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,C1,2024-10-07 11:02:35,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,927822EYXKJK,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.9,3.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,D5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,231782SWYQWY,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
3.6,3.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,D10,2024-10-07 09:01:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,423724VD00IJ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.9,4.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,H3,2024-10-07 12:09:39,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,258598TI8IMV,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.9,4.3,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,D2,2024-10-07 11:39:08,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,282921I6BO8J,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.4,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,E4,2024-10-07 14:06:19,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,12784196WHE3,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
8.1,4.6,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,F9,2024-10-07 08:20:03,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,777118Q5Y8SJ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.1,4.7,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,D9,2024-10-07 08:20:03,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,281881WNVSTQ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.7,4.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,H12,2024-10-07 10:27:56,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,2121273VG8HZ,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.1,4.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,D11,2024-10-07 09:56:36,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,288688N8WNL6,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.1,4.9,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,E6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,1676630ZAYC3,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.2,5.6,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,A3,2024-10-07 12:09:39,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,212982XW1Q7H,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.2,5.8,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,F1,2024-10-07 11:02:35,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,917422Z1GVMW,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.3,5.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,F5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,099789NDVCXX,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.4,6.2,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,G2,2024-10-07 11:39:08,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,176239AC4CCU,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.4,6.3,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015144,F4,2024-10-07 14:06:19,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,271022LUZV3F,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.5,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,A12,2024-10-07 10:27:56,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,771828XY6J5F,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.6,6.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,G11,2024-10-07 09:56:36,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,8682815PQFY9,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
2.8,6.7,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,A10,2024-10-07 09:01:40,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,381234EXH6M9,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
4.2,6.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015149,A9,2024-10-07 08:20:03,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,782188ZVVG8B,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
1.9,7.8,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,C6,2024-10-08 07:58:33,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,761666AF64KW,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8.0,1,3.0,50.0,7.4,0.00025,0.0,PSL_00015144,B5,2024-10-07 14:37:32,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,717014GIB1BA,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
0.9,8.1,0,1.0,50.0,7.4,0.00025,0.0,PSL_00015149,H9,2024-10-07 08:20:03,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,150.0,100.0,17882121SCRR,150.0,RoboLab007_Lys100_Asp200_150mM_NaCl_2Dmatrix_1decimal_R3,0.0,0.0,0.0,0.0,0.0,0.0
