Phase,Barcode,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Conc_NaCl_(mM),Experiment_ID,x,y
1.0,8115681XRF2C,3.3,7.9,225.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,431658N6I1NU,1.9,0.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,566788P2PWNL,8.1,0.5,475.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,386787BE8NR6,0.1,0.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,6377310N4ZO0,0.1,8.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,344781JV5V0T,8.1,6.6,1425.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,37616137Q27T,3.6,3.2,975.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,5441611FZRT6,3.8,8.1,1375.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,761813ELOQ2B,0.1,4.8,400.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,173117RKD0U7,0.1,3.9,1650.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,171168KO1IEL,0.1,0.3,1100.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,157736BCW2IC,7.7,2.5,1375.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,654874AQCDMI,4.6,0.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,767376ABKXP6,3.5,4.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,477157BPMZL9,0.4,8.1,750.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,163117N06H09,5.2,0.1,950.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,773367YDS9R8,1.8,5.7,1150.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,17374134CFXY,5.3,5.3,1350.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,686185T8NN5C,1.1,2.1,1800.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,6715611GULZU,8.1,0.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,156757Z25D90,2.8,8.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,638668OKOPD6,8.1,5.9,1200.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,531667JRROB9,1.5,1.3,150.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,611371O7X9CO,0.1,8.1,1525.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,331668EK3NCV,5.4,1.5,1100.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,753561KM5HKX,0.1,5.2,625.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,818378DZWNP9,3.7,5.5,1375.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,3777168XNVZK,2.0,0.1,1025.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,761366TP7YD5,2.9,4.5,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,518683L96GVU,4.7,0.1,325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,861768USYEAU,5.6,8.1,1050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,1666618UPQP1,0.1,5.2,1950.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,361113NWIPMR,8.1,0.1,850.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,653678C50Z0R,8.1,2.8,1225.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,137183FLXYX8,0.1,8.1,400.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,1867669Q8B4R,3.0,2.8,1300.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,517577FSH2GB,7.6,0.7,1575.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,524144NQ0C4N,0.1,8.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,51224161OQ20,0.1,4.7,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,114555CFRYT5,8.1,8.1,625.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,561715CPVPP5,2.1,0.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,175154SC945J,8.1,2.2,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,745511IHKL8X,5.4,8.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,445755KMKGPG,3.5,4.7,875.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,557656CPZ01L,1.4,0.1,1400.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,5425119FF7JD,0.5,8.1,1225.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,57471751JSXK,4.6,3.6,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,564542XCAW0K,8.1,5.2,1475.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,22555212NSFN,4.4,7.4,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,2144421786M9,0.1,3.8,250.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,264655MI0QIC,5.4,0.1,700.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,421551328W7P,4.4,3.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,452147QS3JGZ,4.8,8.1,1100.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,565124V5YYL6,0.2,3.5,1175.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,224157VLTQ5T,7.0,4.7,625.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,454511NCVWSB,3.9,0.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,147274P525WW,1.8,7.9,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,515441W1JOO9,4.3,2.0,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,665555I0D88T,0.1,0.9,675.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,512116MC1N0T,0.1,1.5,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,442644CKPW6X,8.1,1.8,850.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,726476K5NRBC,3.6,6.0,1600.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,42147258OVEY,2.2,7.3,600.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,745412TTTBD8,8.1,3.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,155562T9WF1L,8.1,8.1,1700.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,725517HY2YFQ,3.0,1.9,650.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,67551106DM41,8.1,6.2,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,542544LKVPAX,2.1,3.1,1725.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,455557AD1ASQ,1.4,1.1,725.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,445565GAH4Y2,8.1,8.1,1450.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,764544GLVEIM,0.1,8.1,1975.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,244554LQIJ4Z,0.2,8.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,5155154DXXKT,8.1,3.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,275764JQ4JVK,0.1,2.4,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,556265PC7KCM,3.7,5.2,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,52554590FG8M,8.1,3.4,1225.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,526555VI3BNR,4.8,0.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,544554ORPMV6,1.9,4.3,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,227554P7G8NN,7.8,0.1,700.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,4544555UA5J9,5.0,2.6,750.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,461545CM3POI,0.1,4.4,1275.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,451175ROYU22,1.4,0.1,1525.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,441715GD6L4T,2.1,8.1,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,111555OSSQK1,0.1,0.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,4515469B2G3B,0.1,5.8,575.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,726541IUBJQY,5.2,7.9,1225.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,476414KBVOH0,2.9,2.4,1275.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,555544RTR9JG,7.1,5.9,1075.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,745657EZK9S3,2.5,1.6,100.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,555512U25JBT,3.9,0.2,675.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,741557H6TUL4,7.5,0.5,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,445755PDP2AJ,0.1,3.2,450.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,555545QRXK9C,1.2,6.1,1675.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,514476N4K4VL,0.1,1.9,1225.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,517564T6RC28,7.5,2.6,650.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,765725FJ2YQT,5.7,2.4,75.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,225266BUM1Z2,5.7,3.8,1250.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,5776153CSD5G,0.4,0.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,454755BF95FJ,0.1,8.1,650.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,165555ONDOWP,0.1,7.1,1250.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,515418WS3H7F,7.6,3.3,300.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,554558D8O24G,0.1,0.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,874266RTRPIB,0.1,8.1,525.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,655515RAKPBP,0.6,0.8,175.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,2575268LXOUQ,5.9,8.1,1550.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,276555ZJKV2Q,3.4,3.2,1225.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,666658P5H6ZJ,8.1,1.1,1500.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,175754UIIAPK,0.2,8.1,1775.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,447454IJYXI6,3.2,4.9,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,567447NRRH3S,0.1,4.0,1775.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,7555548TFQ95,0.1,4.2,725.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,285146JCZG41,4.4,0.9,450.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,6151453NVKED,8.1,5.0,1275.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,488755LXUIGY,1.1,0.1,1125.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,855875VZF5X8,2.9,6.5,1450.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,845485L2D8BU,2.8,8.1,75.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,445245FO3PWP,8.1,8.0,975.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,8455727LW0NO,8.1,0.7,725.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,255454VRRAI5,5.7,1.5,1075.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,514656OSNM40,5.4,5.1,1500.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,5265448CF97U,5.1,3.0,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,5458429NUJ3X,1.8,6.1,500.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,116586V4DB90,1.7,3.1,300.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,518245R2CR4V,0.8,1.7,1600.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,245244VFL6X3,0.4,6.0,1425.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,275171CMGR0N,6.8,3.1,1450.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,548441AAFSKS,2.2,0.2,600.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,578654XULVRN,2.8,1.3,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,1885160DLF0B,3.5,1.3,950.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,5565528F7QJT,1.4,4.0,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,4445655FHFBD,6.3,1.9,550.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,455514ZHXECV,0.1,2.2,550.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,5427556HHTHQ,1.0,5.2,500.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,2754778354D5,8.1,0.1,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,4555558GG7WO,0.3,0.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,475275ROCRO5,8.1,8.1,1125.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,245241T9J75I,6.9,3.6,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,552217SVX0JR,0.1,8.1,1750.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,157775231DKB,0.1,0.1,125.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,4222746SYKJ6,4.7,4.1,1400.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,117545JUKQYZ,4.7,8.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,445441YCDAX9,4.3,0.5,650.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,117525M66I7T,0.1,3.8,1500.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,422175AIPDFX,3.8,8.1,1300.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,175724SLNNTQ,0.8,0.3,1075.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,477545SSWYDB,8.1,7.0,75.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,547211DK626V,8.1,4.8,1425.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,7557579Y96P3,8.1,0.9,475.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,454554XCAUBB,2.0,2.7,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,225271WTLTVK,1.6,8.1,250.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,5274223EZXBA,2.2,5.7,1350.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,44757210LXER,0.2,2.5,625.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,2254548DGVO0,2.4,2.6,1200.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,472525QDO9ZA,5.6,1.4,1250.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,774174CEVEIA,3.1,5.7,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,5551770D8O9A,6.1,6.7,1475.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,47472293WFJZ,4.7,2.0,100.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,542557OZHJ1B,1.9,0.4,525.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,454415VCLLYJ,7.8,2.5,1300.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,2775172QLCVB,0.5,1.5,1575.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,572455XMEFI9,6.5,0.2,825.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,774751ZZBHIB,0.1,7.2,600.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,545575I290RQ,0.2,6.0,1575.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,554272BY0LD9,0.1,4.5,975.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,444125DW4UTY,0.6,3.8,1375.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,775557Q8QH60,8.1,3.4,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,527227XPC6PA,8.0,8.1,1400.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,751427FTG99M,2.8,8.1,100.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,777741TT3A80,2.3,1.1,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,715544YIDQ6K,6.1,2.7,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,72554793LUYZ,2.8,8.1,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,411717V9UG9I,0.2,0.1,2050.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,477425MCN7RO,0.1,0.1,900.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,254575233E6Z,8.1,0.2,700.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,245545UZXT4D,1.0,4.7,400.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,424417O5EWE4,3.9,0.5,850.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,754757P2IPSC,5.4,6.0,1350.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,517457AKREID,0.1,6.9,1700.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,547411AXQLMP,5.5,1.6,200.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,757527NR5F88,0.1,7.6,425.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,557574W5EHXT,8.1,4.9,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,714144URK7OK,3.2,2.7,1275.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,7525125PO24A,0.2,2.1,425.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,5547712DZC1F,2.8,5.4,1325.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
0.0,541725TVA0IB,0.2,1.3,1475.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,125545BPASJ0,2.7,5.7,50.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
1.0,5775129F7VKS,8.1,1.7,1150.0,RoboLab008_Lys100_Asp200_NaCl_Matrix_insilico_R1,0.0,0.0
